smiles,smilesid,docking_score
O=C(C1CCC2(CCC2)CO1)N1CCN(c2nc(C(F)(F)F)cs2)CC1,S143,-10.2077
Cn1cc2c(C(=O)N3CC(c4noc(C(F)F)n4)C3)cc(F)cc2n1,S137,-8.42384
COc1ccc(C(=O)N2CC(O)(CCNC(=O)C3CC4(CC(C)C4)C3)C2)nc1N,S138,-4.50169
COC(=O)C1(c2ccc(NC(=O)Nc3cc(C)cn(C)c3=O)cc2)CCOCC1,S144,-8.90107
CC1(C)CC2(CC(CNC(=O)NC3CC(=O)N(c4ccccc4Cl)C3)C2)C1,S141,-9.36716
COC1(CN(C)CC(=O)N(Cc2ccccc2)C(C)(C)C)CC1,S145,-6.99883
Cc1sc2ccccc2c1C(=O)N1CC(CNC(=O)CC2COCC(C)O2)C1,S146,-8.6116
O=C1NCC2(CN(C(=O)NCCc3ccc(Br)cc3F)C2)O1,S150,-10.566
Cc1n[nH]c(C)c1C(=O)NC[C@@H](C)CNC(=O)c1ccnc2c1CCO2,S147,-9.91112
COc1cccc(-n2cccn2)c1CN1CCC(C(N)=O)(c2ccccc2)C1,S148,-8.04502
CCN1CCOCC1C(=O)N1CC2CCN(C(=O)c3ccnc(OC)c3)C(C2)C1,S149,-7.74125
CCC(C)(C#N)C(=O)NCC12CCC(CN(C(=O)c3cn4ccsc4n3)C1)C2,S151,-10.1081
O=C(CCCc1cnccn1)NCc1cc(C2CC2)ccn1,S156,-6.22235
CC(=O)NC(C(=O)N1CCN(C(=O)c2[nH]cc3c2CCC3)CC1)(C(C)C)C(C)C,S152,-6.23835
CN(Cc1ccc(F)c2c1CCC2)[C@H]1CCOC1=O,S155,-7.40918
CN(CCN(C)C(=O)c1cc2c(s1)C(C)(C)CCC2)C(=O)c1cnsc1,S159,-8.4777
Cc1nc(N2CCC(C(=O)O)(C(C)C)CC2)sc1S(N)(=O)=O,S157,-8.0124
CC1CCc2nc(C(=O)NCCN3CCC(OCC(F)F)CC3)ccc2C1,S153,-8.69242
CN(C)[C@@H](CO)C(=O)NC1(C)CN(C(=O)Cc2cccc3ccncc23)C1,S154,-7.55309
COc1ccc(C(C)N(CC(=O)O)C(=O)CC2CCCN2C(C)=O)cc1,S160,-7.72431
Nc1ncnc2c(C(=O)NCCC(=O)N3CCc4sccc4C3)cnn12,S158,-8.67369
NC(=O)c1cscc1C(=O)N1C[C@H](O)[C@H](O)CC2(CCOCC2)C1,S161,-8.31646
N#Cc1ccc2c(c1)N(C(=O)Cc1coc(C(F)F)n1)CC2,S163,-8.73437
O=C(Nc1csnc1-c1ccccc1)c1ccc2c(c1)OCCN2,S164,-8.0434
C[C@H]1CN(C(=O)CN2CCCC2=O)C[C@]1(C)CNC(=O)c1ncccc1C1CC1,S162,-8.68042
CCc1nc(C(=O)N2CCC3(CC(NC(=O)C4(CN(C)C)CCCC4)C3)C2)co1,S167,-7.88751
CCOC1CC(C(=O)NC2CN(C(=O)Cc3nccn3C)CCC23CCC3)C1,S168,-8.545
CC(CCN(C)C(=O)c1cncnc1N)NC(=O)c1cc2cc(Cl)ccc2o1,S165,-7.88595
COCC(C)CC(=O)N[C@H]1CN(C(=O)C2SCCCS2)C[C@H]1C,S171,-7.68993
O=C(CCNc1ccnc2nccn12)Nc1ncc[nH]1,S169,-7.77739
COc1cc(C(=O)N(C)CC2(NC(=O)[C@H]3CCN(C)[C@H]3C)CC2)n(C)n1,S166,-6.98861
COC(=O)c1cc(CCNC2CC(c3ccc(Br)cc3F)C2)on1,S170,-8.91984
CN(Cc1cn(C)nc1C(F)(F)F)C(=O)c1cc2c(=O)cc[nH]c2s1,S173,-9.35076
C[C@@H](CN(C)C(=O)c1[nH]ncc1Cl)NC(=O)c1cncc(-c2cc[nH]n2)c1,S172,-8.32063
O=C([C@H]1C[C@@H]2C[C@H]1CC2(F)F)N1CCC(n2cc[nH]c2=O)CC1,S178,-9.4336
Cc1cn2c(n1)C(C)N(S(=O)(=O)CC1(C(F)(F)F)CC3(CCC3)C1)CC2,S176,-7.67214
